id,ibu,srm,abv,attenuation_level,outcome
1,60,10,4.5,75,IBU High Medium Amber ABV Low Atten Medium
2,41.5,15,4.1,76,IBU High Amber Brown ABV Low Atten Medium
3,8,4,4.2,83,IBU Low Pale Gold ABV Low Atten High
4,55,15,6.3,80,IBU High Amber Brown ABV Low Atten Medium
5,59,5,7.2,67,IBU High Deep Gold ABV Low Atten Low
6,38,7.5,5.2,88.9,IBU Medium Pale Amber ABV Low Atten High
7,35,40,11.2,84,IBU Medium Black ABV Medium Atten High
8,40,6,4.7,78,IBU High Deep Gold ABV Low Atten Medium
9,30,42,12.5,83,IBU Medium Black ABV Medium Atten High
10,75,11,7.5,80.9,IBU High Deep Amber ABV Low Atten Medium
11,30,60,7.3,74.7,IBU Medium Black ABV Low Atten Medium
12,60,100,5.3,77,IBU High Black ABV Low Atten Medium
13,50,70,4.5,74.5,IBU High Black ABV Low Atten Medium
14,42,31,4.5,72.8,IBU High Deep Brown ABV Low Atten Medium
15,50,20,14.5,85,IBU High Brown ABV Medium Atten High
16,45,109.5,6.1,70.1,IBU High Black ABV Low Atten Medium
17,150,35,11.2,87,IBU High Deep Brown ABV Medium Atten High
18,70,12.5,6,79.3,IBU High Deep Amber ABV Low Atten Medium
19,70,33.58188088,8.2,83,IBU High Undefined ABV Low Atten High
20,26,12,10.27,85,IBU Medium Deep Amber ABV Medium Atten High
21,25,15,4.3,81.8,IBU Medium Amber Brown ABV Low Atten Medium
22,100,18,12.5,68,IBU High Brown ABV Medium Atten Low
23,60,6,8,86,IBU High Deep Gold ABV Low Atten High
24,65.24375,33.58188088,55,100,IBU High Undefined ABV High Atten High
25,45,4,4.7,79,IBU High Pale Gold ABV Low Atten Medium
26,33,25,3.5,68.4,IBU Medium Deep Brown ABV Low Atten Low
27,90,50,15,98,IBU High Black ABV Medium Atten High
28,67,9.5,6.7,79.7,IBU High Medium Amber ABV Low Atten Medium
29,70,45,7.8,79.7,IBU High Black ABV Low Atten Medium
30,70,15,6.7,77.3,IBU High Amber Brown ABV Low Atten Medium
31,55,15,0.5,28.6,IBU High Amber Brown ABV Low Atten Low
32,40,90,12.5,76,IBU High Black ABV Medium Atten Medium
33,75,15,7.5,82.1,IBU High Amber Brown ABV Low Atten High
34,35,22,5.8,90,IBU Medium Ruby Brown ABV Low Atten High
35,8,33.58188088,3.6,83,IBU Low Undefined ABV Low Atten High
36,85,32,10.5,102,IBU High Deep Brown ABV Medium Atten High
37,125,20,12.5,81.2,IBU High Brown ABV Medium Atten Medium
38,55,15,6.3,80,IBU High Amber Brown ABV Low Atten Medium
39,70,15,7.2,82.1,IBU High Amber Brown ABV Low Atten High
40,70,8,8.2,83,IBU High Pale Amber ABV Low Atten High
41,100,150,10.7,76.2,IBU High Black ABV Medium Atten Medium
42,125,20,9.2,81.2,IBU High Brown ABV Medium Atten Medium
43,17,5,4.5,72,IBU Low Deep Gold ABV Low Atten Medium
44,65,6.5,7.1,85,IBU High Pale Amber ABV Low Atten High
45,47,32.5,5,79.4,IBU High Deep Brown ABV Low Atten Medium
46,20.5,10,16.5,100,IBU Low Medium Amber ABV High Atten High
47,50,55.5,12.8,79.17,IBU High Black ABV Medium Atten Medium
48,70,15,6.7,77.3,IBU High Amber Brown ABV Low Atten Medium
49,30,10,10,83,IBU Medium Medium Amber ABV Medium Atten High
50,35,40,10,85,IBU Medium Black ABV Medium Atten High
51,20,7,5.5,89.6,IBU Low Pale Amber ABV Low Atten High
52,55,152,10,84.4,IBU High Black ABV Medium Atten High
53,35,20,4.5,72.9,IBU Medium Brown ABV Low Atten Medium
54,65,30,7.4,82.6,IBU High Deep Brown ABV Low Atten High
55,70,15,7.2,82.1,IBU High Amber Brown ABV Low Atten High
