id,ibu_category_nbr,srm_category_nbr,abv_category_nbr,attenuation_category_nbr,outcome
1,3,6,1,2,IBU High Medium Amber ABV Low Atten Medium
2,3,12,1,2,IBU High Amber Brown ABV Low Atten Medium
3,1,3,1,3,IBU Low Pale Gold ABV Low Atten High
4,3,12,1,2,IBU High Amber Brown ABV Low Atten Medium
5,3,4,1,1,IBU High Deep Gold ABV Low Atten Low
6,2,5,1,3,IBU Medium Pale Amber ABV Low Atten High
7,2,11,2,3,IBU Medium Black ABV Medium Atten High
8,3,4,1,2,IBU High Deep Gold ABV Low Atten Medium
9,2,11,2,3,IBU Medium Black ABV Medium Atten High
10,3,7,1,2,IBU High Deep Amber ABV Low Atten Medium
11,2,11,1,2,IBU Medium Black ABV Low Atten Medium
12,3,11,1,2,IBU High Black ABV Low Atten Medium
13,3,11,1,2,IBU High Black ABV Low Atten Medium
14,3,10,1,2,IBU High Deep Brown ABV Low Atten Medium
15,3,8,2,3,IBU High Brown ABV Medium Atten High
16,3,11,1,2,IBU High Black ABV Low Atten Medium
17,3,10,2,3,IBU High Deep Brown ABV Medium Atten High
18,3,7,1,2,IBU High Deep Amber ABV Low Atten Medium
19,3,12,1,3,IBU High Undefined ABV Low Atten High
20,2,7,2,3,IBU Medium Deep Amber ABV Medium Atten High
21,2,12,1,2,IBU Medium Amber Brown ABV Low Atten Medium
22,3,8,2,1,IBU High Brown ABV Medium Atten Low
23,3,4,1,3,IBU High Deep Gold ABV Low Atten High
24,3,12,3,3,IBU High Undefined ABV High Atten High
25,3,3,1,2,IBU High Pale Gold ABV Low Atten Medium
26,2,10,1,1,IBU Medium Deep Brown ABV Low Atten Low
27,3,11,2,3,IBU High Black ABV Medium Atten High
28,3,6,1,2,IBU High Medium Amber ABV Low Atten Medium
29,3,11,1,2,IBU High Black ABV Low Atten Medium
30,3,12,1,2,IBU High Amber Brown ABV Low Atten Medium
31,3,12,1,1,IBU High Amber Brown ABV Low Atten Low
32,3,11,2,2,IBU High Black ABV Medium Atten Medium
33,3,12,1,3,IBU High Amber Brown ABV Low Atten High
34,2,9,1,3,IBU Medium Ruby Brown ABV Low Atten High
35,1,12,1,3,IBU Low Undefined ABV Low Atten High
36,3,10,2,3,IBU High Deep Brown ABV Medium Atten High
37,3,8,2,2,IBU High Brown ABV Medium Atten Medium
38,3,12,1,2,IBU High Amber Brown ABV Low Atten Medium
39,3,12,1,3,IBU High Amber Brown ABV Low Atten High
40,3,5,1,3,IBU High Pale Amber ABV Low Atten High
41,3,11,2,2,IBU High Black ABV Medium Atten Medium
42,3,8,2,2,IBU High Brown ABV Medium Atten Medium
43,1,4,1,2,IBU Low Deep Gold ABV Low Atten Medium
44,3,5,1,3,IBU High Pale Amber ABV Low Atten High
45,3,10,1,2,IBU High Deep Brown ABV Low Atten Medium
46,1,6,3,3,IBU Low Medium Amber ABV High Atten High
47,3,11,2,2,IBU High Black ABV Medium Atten Medium
48,3,12,1,2,IBU High Amber Brown ABV Low Atten Medium
49,2,6,2,3,IBU Medium Medium Amber ABV Medium Atten High
50,2,11,2,3,IBU Medium Black ABV Medium Atten High
51,1,5,1,3,IBU Low Pale Amber ABV Low Atten High
52,3,11,2,3,IBU High Black ABV Medium Atten High
53,2,8,1,2,IBU Medium Brown ABV Low Atten Medium
54,3,10,1,3,IBU High Deep Brown ABV Low Atten High
55,3,12,1,3,IBU High Amber Brown ABV Low Atten High
56,3,11,2,2,IBU High Black ABV Medium Atten Medium
57,3,6,2,3,IBU High Medium Amber ABV Medium Atten High
58,3,11,2,2,IBU High Black ABV Medium Atten Medium
59,3,4,1,3,IBU High Deep Gold ABV Low Atten High
60,2,9,1,2,IBU Medium Ruby Brown ABV Low Atten Medium
61,2,5,1,2,IBU Medium Pale Amber ABV Low Atten Medium
62,3,7,2,3,IBU High Deep Amber ABV Medium Atten High
63,3,5,1,3,IBU High Pale Amber ABV Low Atten High
